geno2,geno,accenumb,accename
R226,R226,PI531510,R226
R229,R229,PI592734,R229
R4,R4,AMES27187,R4
R71,R71,NSL30872,R71
R78,R78,NSL30876,R78
SD101,SD101,PI533658,SD101
SD102,SD102,PI533659,SD102
SD15,SD15,NSL34374,SD15
SD40,SD40,PI606768,SD40
SD44,SD44,PI524969,SD44
SG18,Sg18,NSL75979,SG 18
SG30A,SG_30A,NSL75980,SG 30A
T146,T146,PI340829,T146
T232,T232,PI550522,T232
T242,T242,PI340830,T242
TR,Tr,AMES26022,Tr
TX303,Tx303,AMES19327,Tx303
VA102,Va102,PI587151,Va102
VA38,Va38,AMES19011,Va38
VA52,Va52,AMES19014,Va52
VA85,Va85,AMES27193,Va85
VA99,Va99,AMES24989,Va99
VAW6,VaW6,AMES19000,VaW6
W153R,W153R,NSL30059,W153R
W22,W22,NSL30053,W22
W23,W23,NSL30060,W23
W24,W24,NSL30064,W24
W32,W32,NSL30071,W32
W552,W552,PI520770,W552
W64A,W64A,NSL30058,W64A
W9,W9,NSL30065,W9
WR3,WR3,NSL30066,WR3
YE4,YE_4,AMES2335,Ye 4
YU796NS,Yu796_NS,AMES27196,Yu796_NS
