Env,DistB73,SS,NSS,TS,INBRED,10KW_Inbred,KC_Inbred,CD_Inbred,CL_Inbred,CW_Inbred,TKW_Inbred,10KW_B73,KC_B73,CD_B73,CL_B73,CW_B73,TKW_B73,10KW_Hyb,KC_Hyb,CD_Hyb,CL_Hyb,CW_Hyb,TKW_Hyb,10KW_bph,CD_bph,CL_bph,CW_bph,TKW_bph
02F,1.92368701,0.002,0.997,0.001,A682,3.28,173.4756098,21.158,118.276,9.32,56.9,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,4,398,28.205,150.015,26.2,159.2,0.348333333,2.217666668,1.194666675,3.29,2.975
02F,1.88594668,0.002,0.776,0.222,Ab28A,2.58,126.2790698,22.764,104.31,17.6,32.58,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.48,370.3448276,28.954,131.448,33.48,128.88,0.001666667,1.414666668,5.788333325,0.85,15.135
02F,1.12134054,0.429,0.57,0.001,B10,3.32,98.85542169,26.49,106.364,16.08,32.82,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,4.14,282.2222222,33.922,131.606,35.54,116.84,0.368333333,0.448333332,4.761333325,0.09,15.015
02F,0.5866637,0.694,0.305,0.001,B104,3.525,249.1489362,27.7775,117.9475,21.775,87.825,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.92,263.4183673,32.044,142.968,32.92,103.26,0.470833333,1.092083333,1.030416675,2.9375,12.4875
02F,1.12134054,0.397,0.566,0.037,B105,2.68,202.3134328,27.768,93.954,11.32,54.22,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.62,363.7569061,30.612,138.308,28.64,131.68,0.048333333,1.087333333,10.96633333,2.29,4.315
02F,0.24730962,0.995,0.003,0.002,B109,2.9,222.9655172,26.924,107.904,11.52,64.66,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,2.96,259.0540541,25.706,99.152,13.9,76.68,0.158333333,0.665333332,3.991333325,2.19,0.905
02F,1.57086564,0.061,0.847,0.092,B115,3.1,82.66129032,20.2925,102.8975,11.575,25.625,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.46,399.4797688,28.716,142.62,24.7,138.22,0.258333333,2.650416668,6.494583325,2.1625,18.6125
02F,0.7873344,0.998,0.001,0.001,B14A,3.16,169.4303797,24.034,124.256,15.12,53.54,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.44,385.0581395,26.296,158.512,23.7,132.46,0.288333333,0.779666667,4.184666675,0.39,4.655
02F,1.23053983,0.233,0.756,0.011,B164,2.033333333,162.4590164,19.59333333,121.79,8.766666667,33.03333333,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.54,359.8305085,25.438,144.432,22.2,127.38,0.275,3.000000003,2.951666675,3.566666667,14.90833334
02F,1.68527599,0.007,0.988,0.005,B2,.,.,.,.,.,.,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,4.16,250.3846154,28.492,141.928,25.44,104.16,.,.,.,.,.
02F,0.98082925,0.997,0.002,0.001,B37,2.325,221.1827957,22.76,108.5625,19.425,51.425,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.08,337.1428571,31.138,134.764,29.06,103.84,0.129166667,1.416666668,3.662083325,1.7625,5.7125
02F,1.1927995,0.214,0.784,0.002,B46,3.1,247.5483871,26.87,139.606,19.78,76.74,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.66,381.3114754,30.402,148.158,35.26,139.56,0.258333333,0.638333333,11.85966668,1.94,6.945
02F,1.54419739,0.012,0.985,0.003,B52,2.4,163.0208333,25.25333333,146.51,20.875,39.125,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.14,498.6624204,29.7,161.132,30.98,156.58,0.091666667,0.170000003,15.31166668,2.4875,11.8625
02F,1.35314215,0.002,0.996,0.002,B57,2.625,158.1904762,21.945,100.9075,12.075,41.525,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3,521.0666667,30.738,143.186,30.1,156.32,0.020833333,1.824166668,7.489583325,1.9125,10.6625
02F,0.86859586,0.988,0.002,0.01,B64,2.52,248.7301587,23.074,121.566,17.72,62.68,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.64,424.2857143,28.912,167.562,33.54,154.44,0.031666667,1.259666668,2.839666675,0.91,0.085
02F,0.82507472,0.998,0.001,0.001,B68,2.75,231.2727273,22.084,108.088,14.125,63.6,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.66,414.3715847,30.926,153.396,26.16,151.66,0.083333333,1.754666668,3.899333325,0.8875,0.375
02F,0.02849196,0.999,0.001,1.10E-16,B73Htrhm,2.32,305.6896552,26.52,107.69,15.58,70.92,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,2.62,295.5725191,28.266,107.618,18.3,77.44,0.131666667,0.463333333,4.098333325,0.16,4.035
02F,1.42058343,0.005,0.993,0.002,B75,2.68,143.5074627,21.582,92.938,9.04,38.46,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.2,462.6875,27.21,135.738,22.62,148.06,0.048333333,2.005666668,11.47433333,3.43,12.195
02F,1.12134054,0.912,0.087,0.001,B76,2.5,85.2,24.0025,91.225,12.2,21.3,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.54,398.4745763,24.886,143.33,27.72,141.06,0.041666667,0.795416668,12.33083333,1.85,20.775
02F,1.46821148,0.083,0.915,0.002,B77,2.72,224.1176471,25.246,129.198,12.86,60.96,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.48,430.1149425,29.152,154.52,29.48,149.68,0.068333333,0.173666668,6.655666675,1.52,0.945
02F,1.12134054,0.305,0.693,0.002,B79,2.58,199.8449612,27.8,107.536,14.3,51.56,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.72,368.6021505,30.694,161.514,32.12,137.12,0.001666667,1.103333333,4.175333325,0.8,5.645
02F,0.60707257,0.996,0.003,0.001,B84,2.56,151.25,25.094,107.296,15.8,38.72,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.74,326.4171123,28.666,154.598,32.62,122.08,0.011666667,0.249666667,4.295333325,0.05,12.065
02F,1.5182219,0.016,0.981,0.003,B97,3.14,250.6369427,23.068,111.474,12.46,78.7,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.825,287.7777778,28.5725,130.5025,20.15,110.075,0.278333333,1.262666668,2.206333325,1.72,7.925
02F,1.46821148,0.002,0.997,0.001,C103,2.75,145.7272727,19.7725,115.155,11.3,40.075,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,4.033333333,441.2396695,29.87333333,191.06,36.11666667,177.9666667,0.083333333,2.910416668,0.365833325,2.3,11.3875
02F,1.46821148,0.047,0.952,0.001,C123,.,.,.,.,.,.,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.4,465.4705882,28.276,154.294,25.24,158.26,.,.,.,.,.
02F,1.35314215,0.143,0.841,0.016,C49,2,38.83333334,23.20333333,49.22,5.633333333,7.766666667,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.8,276.2105263,29.618,125.34,22.48,104.96,0.291666667,1.195000003,33.33333333,5.133333334,27.54166667
02F,1.31058254,0.127,0.869,0.004,C49A,2.1,56.66666667,20.83,57.44,4.5,11.9,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.8,245.3157895,27.958,144.054,24.32,93.22,0.241666667,2.381666668,29.22333333,5.7,25.475
02F,1.78058617,0.004,0.993,0.003,CH701-30,2.6,107.4038462,19.7875,96.4075,6.95,27.925,2.583333334,243.2903225,25.59333334,115.8866667,15.9,62.85,3.5,361.5428571,27.484,136.206,21.3,126.54,0.008333333,2.902916668,9.739583325,4.475,17.4625
