geno,geno2,accenumb,accename,comp1num,comp1gerp,comp2num,comp2gerp
H99,H99,PI587129,H99,5,3908.70957000007,6,11012.6882600001
Hi28,HI28,PI593010,Hi28,4,4962.56790000006,12,19069.4460800002
HUANYAO,HUANYAO,AMES2337,Huanyao,7,4589.64610000007,6,31051.9542000016
I205,I205,NSL65871,I 205,4,3711.40034000007,1,6866.18640000009
Il14H,IL14H,AMES27118,Il14H,6,4935.36653000006,12,26905.3311000001
INBRED_309,INBRED309,PI186227,INBRED 309,4,5744.68504000007,11,19281.1421200004
K150,K150,NSL22630,K150,7,5783.36471000005,10,33678.5108700013
K41,K41,NSL22635,K41,4,3219.42600000007,12,20974.7413800003
K55,K55,AMES22754,K55,4,4964.06180000006,6,9073.16664300011
Ki11,KI11,AMES27124,Ki11,3,4600.98157000007,8,22573.3393500012
Ki3,KI3,AMES27123,Ki3,2,3488.68900000007,6,11474.5033599998
Ky21,KY21,AMES27130,Ky21,6,7529.30353000001,8,15461.3705530003
L_289,L289,NSL65872,L 289,4,4607.25567000007,6,13203.5179040003
LH1,LH1,PI644101,LH1,4,3907.07591000007,4,2282.02450000001
LH123HT,LH123HT,PI601079,LH123HT,5,7519.13153000001,10,16248.8742200004
LH143_maintainer,LH143MAINTAINER,AMES27450,LH143 (Maintainer),5,5530.3683700001,14,31155.3848740002
LH149,LH149,PI601493,LH149,4,3884.16657000007,10,11373.6227600001
LH38,LH38,PI600791,LH38,6,5233.00567000006,7,15059.9197130003
LH39,LH39,PI600944,LH39,2,1214.4332,7,7971.57846999999
LH59,LH59,PI601466,LH59,4,3966.27200000007,8,21998.5710700011
LH82,LH82,PI601170,LH82,4,3685.05624000007,6,3155.06796
LH93,LH93,PI601171,LH93,6,4599.06200000007,9,29843.9875500013
LP5,LP5,PI601378,LP5,8,4145.75274000007,6,4493.27830000001
M14,M14,NSL30867,M14,7,5110.02040000006,4,5756.57279000008
M162W,M162W,AMES27134,M162W,4,3496.30400000007,6,14141.8648000003
M37W,M37W,AMES27133,M37W,7,3844.12000000007,3,6753.64722000009
MS106,MS106,AMES24727,MS106,6,5001.36040000006,6,15159.4445700003
MS116,MS116,AMES24729,MS116,3,1851.10362999999,7,12020.9776300002
MS132,MS132,AMES24730,MS132,8,5751.5778000001,12,22245.4165900004
MS142,MS142,AMES24733,MS142,10,5142.62801000006,9,30625.9019300014
MS211,MS211,AMES24742,MS211,3,3409.19600000007,17,26220.4196800003
MS221,MS221,AMES24746,MS221,6,4519.06481000006,11,17847.08077
MS222,MS222,AMES24747,MS222,6,5704.2077100001,12,13503.0108000001
MS223,MS223,AMES24748,MS223,5,3996.95020000006,6,10699.0749099999
MS224,MS224,AMES24749,MS224,6,5460.97453000006,4,10418.2600900002
MS225,MS225,AMES24750,MS225,4,3496.30400000007,4,4924.41197000004
MS226,MS226,AMES24751,MS226,5,3789.81690000007,8,6580.85598999999
MS24A,MS24A,AMES24708,MS24A,4,3257.10534000007,11,7869.86514000004
MS67,MS67,AMES24710,MS67,4,3702.70890000007,15,31996.7623700012
MS72,MS72,AMES24713,MS72,3,3814.95057000007,12,11801.08672
N193,N193,PI550567,N193,6,9719.80134000017,10,24741.9246500012
N197,N197,AMES22755,N197,5,6183.09567000007,5,20236.3351400002
N199,N199,PI568158,N199,8,5390.17970000006,7,13880.9345500001
N209,N209,PI595366,N209,5,6299.09442000005,11,16888.5246300003
N215,N215,PI595367,N215,4,5212.79890000005,7,14391.4099399999
N216,N216,PI596355,N216,4,4941.39180000006,13,18517.3601400002
N217,N217,PI596356,N217,7,5348.85721000006,7,12180.1117140003
N218,N218,PI596357,N218,5,4120.10191000007,10,10030.29826
N28Ht,N28HT,AMES27138,N28Ht,9,4761.34321000007,6,6303.324549
N501,N501,PI594050,N501,4,3907.07591000007,11,28275.0961000011
N527,N527,PI604606,N527,3,4854.28380000006,10,17738.0083100002
N534,N534,PI594080,N534,2,3406.24900000007,10,18619.4417700011
N538,N538,PI594084,N538,6,5549.87987000006,9,17891.3653100002
N542,N542,PI594088,N542,4,5067.30980000006,7,10471.74332
N545,N545,PI594091,N545,5,3893.06490000007,11,19826.9846000001
N6,N6,AMES27137,N6,5,3665.12600000007,6,12241.0004899999
N7A,N7A,PI607512,N7A,5,3865.82574000007,6,8936.20078000009
NC250,NC250,PI550555,NC250,7,4349.68781000007,8,17283.4972799999
NC264,NC264,PI520774,NC264,2,3406.24900000007,8,15213.8395300002
NC342,NC342,AMES27167,NC342,4,4434.86540000008,2,4728.79082000011
NC358,NC358,AMES27175,NC358,3,3592.93090000007,6,12205.1971800002
ND247,ND247,PI550503,ND247,6,5278.41020000007,14,25139.1635100005
ND283,ND283,NSL32738,ND283,4,4433.04180000006,3,2114.53083999999
NP87,NP87,PI542716,NP87,2,3406.24900000007,8,34037.6942540013
NY6371,NY6371,PI610494,NY6371,6,3755.46300000007,7,17214.4790500002
OC19,OC19,PI596506,OC19,5,7212.45800000005,6,12874.0877500001
OH33,OH33,NSL28965,Oh33,7,5564.77980000005,9,14700.9011900001
Oh40B,OH40B,NSL28966,Oh40B,5,1092.5189,6,10090.8647600001
Oh43,OH43,AMES19288,Oh43,5,4706.83820000006,13,47852.568293001
Oh7B,OH7B,AMES19323,Oh7B,3,3498.37434000007,6,16276.88144
Os420,OS420,NSL65874,Os420,2,3022.42500000007,4,9169.34762000019
Os426,OS426,AMES22756,Os426,4,5067.30980000006,11,18447.9045900003
P39,P39,NSL8585,P39,6,4943.14311000007,9,11252.7148600001
Pa392,PA392,PI517968,Pa392,3,3516.02700000007,4,1668.93860000001
Pa405,PA405,AMES22757,Pa405,5,3848.60290000007,4,6381.61895000015
Pa468,PA468,PI517971,Pa468,4,5067.30980000006,8,9114.58812000001
Pa762,PA762,AMES27184,Pa762,5,4468.21310000007,4,6214.90814000006
Pa778,PA778,PI560081,Pa778,7,4737.38057000006,9,33916.0303530007
Pa891,PA891,PI531083,Pa891,6,2555.21786999999,6,8879.09070000006
PHG29,PHG29,PI601270,PHG29,4,3923.68134000006,4,9783.20123000018
PHG35,PHG35,PI601008,PHG35,4,5773.12220000007,5,11578.8301130003
PHG47,PHG47,PI601318,PHG47,5,4093.75781000007,6,9577.23397000007
PHG50,PHG50,PI601006,PHG50,2,3406.24900000007,5,8512.80216000013
PHG72,PHG72,PI601319,PHG72,4,4946.40914000006,9,10984.1210829999
PHK76,PHK76,PI601496,PHK76,4,4946.40914000006,5,11268.75731
PHN11,PHN11,PI601497,PHN11,4,4946.40914000006,5,16196.25778
PHR36,PHR36,PI601361,PHR36,1,2997.88200000007,6,11453.8175430002
PHT55,PHT55,PI601498,PHT55,6,4262.57981000007,3,2575.07514
PHT77,PHT77,PI601499,PHT77,2,3406.24900000007,9,14030.1770300002
PHV63,PHV63,PI601500,PHV63,4,3608.15234000007,7,6780.97473999999
PHW17,PHW17,PI601362,PHW17,8,5502.44104000006,10,24394.7387390003
PHZ51,PHZ51,PI601322,PHZ51,0,0,0,0
R101,R101,NSL30878,R101,4,3711.40034000007,13,27774.6778500001
R113,R113,NSL30883,R113,7,5644.35244000006,10,14748.9071200001
R168,R168,AMES19326,R168,4,690.121239999999,8,10761.3478400001
R177,R177,NSL30894,R177,7,3988.13724000007,6,23828.1125900013
R181B,R181B,NSL30896,R181B,5,3013.47280000001,7,8401.36769000007
R197,R197,NSL30902,R197,4,4724.72404000006,11,21842.7877900003
R226,R226,PI531510,R226,6,6397.18411000005,6,13194.0849200003
