"","pop 1","pop 2","pop 3"
"1",0.125060787659263,0.153938933974543,0.15173862804727
"2",0.166176985562582,0.205192215700399,0.27107359341188
"3",0.0999404626054207,0.0959352539296004,0.125011580420051
"4",0.0638812765494578,0.0308028613543319,0.0989709087112575
"5",0.451658140046459,0.441399074904038,0.475457368450503
"6",0.148967054198503,0.24283965065167,0.229554428508325
"7",0.137613687279747,0.201092019438996,0.227430819790439
"8",0.12541902491471,0.182421303533044,0.163582884642044
"9",0.110386226361881,0.148269206461217,0.209146706251212
"10",0.0727793164476932,0.0967037607320216,0.122654680311373
"11",0.0548005433608711,0.0258888888888889,0.0198038628038628
"12",0.0368881870200454,0.0452859144506016,0.075212650943343
"13",0.0370351713406787,0.0196984126984127,0.0310616246498599
"14",0.112289170847923,0.16105301323637,0.19456841808286
"15",0.11369558268494,0.162782541422266,0.1768178605409
"16",0.136267217741369,0.224602931233807,0.217654685667434
"17",0.113397739651572,0.0885030333443646,0.126077688580093
"18",0.18640862580978,0.216369989128379,0.267646762747284
"19",0.222115436660553,0.220644448031746,0.245194517996246
"20",0.518083953718266,0.555061271627518,0.573064435552006
"21",0.498196874768755,0.472964314544776,0.642901735792311
"22",0.129027998381029,0.10023576194474,0.247576551843153
"23",0.107166805516754,0.0871471868730771,0.138403585932695
"24",0.142177017608303,0.130550954393091,0.130166641297321
"25",0.173924364135045,0.152318633420963,0.124909885823185
"26",0.107854891627899,0.0733405529499735,0.100436129395781
"27",0.398275082806584,0.41271032668102,0.476105639099038
"28",0.0355107005664422,0.0155873015873016,0.0420144241723189
"29",0.0372045934517934,0.0327982788080264,0.137817107489088
"30",0.0804314786246722,0.0609997967789338,0.0989598889266109
"31",0.0327602818727517,0.0221853399868106,0.0209551960877987
"32",0.11161218927657,0.175078027840218,0.401738277539246
"33",0.208608317692835,0.273756800182475,0.495652105929858
"34",0.376787491573901,0.474073742343811,0.68546835902961
"35",0.109167040808004,0.130686207722846,0.241942880225495
"36",0.307575353492985,0.338780179067509,0.429241288878222
"37",0.367188043013895,0.389527671373081,0.437566192220148
