geno,geno2,accenumb,accename,comp1,comp2
OC19,OC19,PI596506,OC19,21,36
OH33,OH33,NSL28965,Oh33,30,38
Oh40B,OH40B,NSL28966,Oh40B,32,33
Oh43,OH43,AMES19288,Oh43,31,50
Oh7B,OH7B,AMES19323,Oh7B,34,40
Os420,OS420,NSL65874,Os420,32,26
Os426,OS426,AMES22756,Os426,26,47
P39,P39,NSL8585,P39,30,48
Pa392,PA392,PI517968,Pa392,33,27
Pa405,PA405,AMES22757,Pa405,32,31
Pa468,PA468,PI517971,Pa468,39,40
Pa762,PA762,AMES27184,Pa762,33,37
Pa778,PA778,PI560081,Pa778,40,31
Pa891,PA891,PI531083,Pa891,37,36
PHG29,PHG29,PI601270,PHG29,34,25
PHG35,PHG35,PI601008,PHG35,30,35
PHG47,PHG47,PI601318,PHG47,33,31
PHG50,PHG50,PI601006,PHG50,33,26
PHG72,PHG72,PI601319,PHG72,31,38
PHK76,PHK76,PI601496,PHK76,30,24
PHN11,PHN11,PI601497,PHN11,30,36
PHR36,PHR36,PI601361,PHR36,14,19
PHT55,PHT55,PI601498,PHT55,31,27
PHT77,PHT77,PI601499,PHT77,26,23
PHV63,PHV63,PI601500,PHV63,33,37
PHW17,PHW17,PI601362,PHW17,50,44
R101,R101,NSL30878,R101,27,47
R113,R113,NSL30883,R113,27,41
R168,R168,AMES19326,R168,32,32
R177,R177,NSL30894,R177,32,39
R181B,R181B,NSL30896,R181B,43,27
R197,R197,NSL30902,R197,32,38
R226,R226,PI531510,R226,33,35
R229,R229,PI592734,R229,47,31
R4,R4,AMES27187,R4,33,32
R71,R71,NSL30872,R71,31,35
R78,R78,NSL30876,R78,33,30
SD101,SD101,PI533658,SD101,39,41
SD102,SD102,PI533659,SD102,30,26
SD15,SD15,NSL34374,SD15,25,34
SD40,SD40,PI606768,SD40,26,20
SD44,SD44,PI524969,SD44,35,33
SG_30A,SG30A,NSL75980,SG 30A,26,48
Sg18,SG18,NSL75979,SG 18,31,49
T146,T146,PI340829,T146,25,39
T232,T232,PI550522,T232,35,35
T242,T242,PI340830,T242,31,51
Tr,TR,AMES26022,Tr,34,43
Tx303,TX303,AMES19327,Tx303,31,41
Va102,VA102,PI587151,Va102,26,36
Va38,VA38,AMES19011,Va38,41,27
Va52,VA52,AMES19014,Va52,21,43
Va85,VA85,AMES27193,Va85,31,39
Va99,VA99,AMES24989,Va99,37,28
VaW6,VAW6,AMES19000,VaW6,30,24
W153R,W153R,NSL30059,W153R,28,37
W22,W22,NSL30053,W22,27,48
W23,W23,NSL30060,W23,30,36
W24,W24,NSL30064,W24,22,25
W32,W32,NSL30071,W32,28,30
W552,W552,PI520770,W552,22,38
W64A,W64A,NSL30058,W64A,32,36
W9,W9,NSL30065,W9,33,32
WR3,WR3,NSL30066,WR3,33,48
YE_4,YE4,AMES2335,Ye 4,40,40
Yu796_NS,YU796NS,AMES27196,Yu796_NS,22,38
